Optimization,Operation,Duration
SIMD MAC,CONV_2D,38846
SIMD MAC,DEPTHWISE_CONV_2D,26044
SIMD MAC,AVERAGE_POOL_2D,27
SIMD MAC,RESHAPE,1
SIMD MAC,FULLY_CONNECTED,6
SIMD MAC,SOFTMAX,2
Unoptimized,CONV_2D,74722
Unoptimized,DEPTHWISE_CONV_2D,26040
Unoptimized,AVERAGE_POOL_2D,27
Unoptimized,RESHAPE,2
Unoptimized,FULLY_CONNECTED,6
Unoptimized,SOFTMAX,2
SIMD Add/Mul,CONV_2D,51504
SIMD Add/Mul,DEPTHWISE_CONV_2D,26043
SIMD Add/Mul,AVERAGE_POOL_2D,28
SIMD Add/Mul,RESHAPE,2
SIMD Add/Mul,FULLY_CONNECTED,5
SIMD Add/Mul,SOFTMAX,2
Scalar MAC,CONV_2D,61245
Scalar MAC,DEPTHWISE_CONV_2D,26043
Scalar MAC,AVERAGE_POOL_2D,27
Scalar MAC,RESHAPE,2
Scalar MAC,FULLY_CONNECTED,6
Scalar MAC,SOFTMAX,2
